Date,Store,Product,Category,Region,Season,Promo,Epidemic,Weather,Inventory,UnitsSold,UnitsOrdered,Price,Discount,CompPrice,Demand,InvGap,Stockout,Coverage
2022-01-29,S001,P0001,Electronics,North,Winter,0,0,Sunny,263,69,0,65.0,5,77.11,81,182,0,3.247
2022-01-30,S001,P0001,Electronics,North,Winter,0,0,Cloudy,537,73,0,71.59,0,69.69,79,458,0,5.0
2022-01-31,S001,P0001,Electronics,North,Winter,0,0,Cloudy,464,103,0,72.1,10,70.23,113,351,0,4.106
2022-02-01,S001,P0001,Electronics,North,Winter,0,0,Snowy,361,102,0,70.53,5,66.56,90,271,0,4.011
2022-02-02,S001,P0001,Electronics,North,Winter,1,0,Cloudy,259,94,215,60.16,20,54.96,94,165,0,2.755
2022-02-03,S001,P0001,Electronics,North,Winter,0,0,Cloudy,165,41,0,64.73,5,56.97,66,99,0,2.5
2022-02-04,S001,P0001,Electronics,North,Winter,1,0,Snowy,339,76,0,69.7,10,81.05,119,220,0,2.849
2022-02-05,S001,P0001,Electronics,North,Winter,0,0,Sunny,263,81,0,64.98,5,76.39,81,182,0,3.247
2022-02-06,S001,P0001,Electronics,North,Winter,0,0,Sunny,182,65,124,66.85,0,65.43,61,121,0,2.984
2022-02-07,S001,P0001,Electronics,North,Winter,0,0,Snowy,117,74,0,61.3,5,70.26,65,52,0,1.8
2022-02-08,S001,P0001,Electronics,North,Winter,0,0,Snowy,167,84,298,76.98,10,68.59,135,32,0,1.237
2022-02-09,S001,P0001,Electronics,North,Winter,0,0,Sunny,83,83,0,77.83,0,85.01,120,-37,1,0.692
2022-02-10,S001,P0001,Electronics,North,Winter,0,0,Sunny,298,59,0,61.17,10,56.89,65,233,0,4.585
2022-02-11,S001,P0001,Electronics,North,Winter,0,0,Sunny,239,108,247,78.22,0,70.88,106,133,0,2.255
2022-02-12,S001,P0001,Electronics,North,Winter,0,0,Sunny,131,111,288,80.71,10,75.02,151,-20,1,0.868
2022-02-13,S001,P0001,Electronics,North,Winter,0,0,Snowy,267,65,0,64.14,0,71.52,63,204,0,4.238
2022-02-14,S001,P0001,Electronics,North,Winter,0,0,Snowy,490,54,0,60.31,10,53.53,61,429,0,5.0
2022-02-15,S001,P0001,Electronics,North,Winter,1,0,Snowy,436,109,0,62.09,25,68.99,141,295,0,3.092
2022-02-16,S001,P0001,Electronics,North,Winter,1,0,Sunny,327,114,0,58.68,20,70.98,102,225,0,3.206
2022-02-17,S001,P0001,Electronics,North,Winter,1,0,Cloudy,213,66,142,49.1,25,55.59,69,144,0,3.087
2022-02-18,S001,P0001,Electronics,North,Winter,0,0,Sunny,147,142,218,81.26,5,76.94,135,12,0,1.089
2022-02-19,S001,P0001,Electronics,North,Winter,1,0,Sunny,147,41,0,54.62,15,61.39,64,83,0,2.297
2022-02-20,S001,P0001,Electronics,North,Winter,0,0,Sunny,324,161,267,78.12,10,75.03,140,184,0,2.314
2022-02-21,S001,P0001,Electronics,North,Winter,1,0,Snowy,163,135,0,69.35,15,62.07,119,44,0,1.37
2022-02-22,S001,P0001,Electronics,North,Winter,0,0,Sunny,295,81,294,72.97,10,85.45,134,161,0,2.201
2022-02-23,S001,P0001,Electronics,North,Winter,1,0,Sunny,214,167,0,79.37,10,77.35,145,69,0,1.476
2022-02-24,S001,P0001,Electronics,North,Winter,1,0,Snowy,341,104,0,68.37,10,67.31,97,244,0,3.515
2022-02-25,S001,P0001,Electronics,North,Winter,0,0,Snowy,237,111,243,77.73,0,88.92,120,117,0,1.975
2022-02-26,S001,P0001,Electronics,North,Winter,0,0,Cloudy,126,73,0,68.03,5,67.23,79,47,0,1.595
2022-02-27,S001,P0001,Electronics,North,Winter,0,0,Sunny,296,141,305,77.19,10,92.65,153,143,0,1.935
2022-02-28,S001,P0001,Electronics,North,Winter,1,0,Snowy,155,112,0,62.36,20,67.27,121,34,0,1.281
2022-03-01,S001,P0001,Electronics,North,Spring,0,0,Sunny,348,89,283,75.76,10,70.35,129,219,0,2.698
2022-03-02,S001,P0001,Electronics,North,Spring,1,0,Cloudy,259,101,0,65.05,15,69.99,115,144,0,2.252
2022-03-03,S001,P0001,Electronics,North,Spring,1,0,Sunny,441,111,0,64.72,15,71.82,113,328,0,3.903
2022-03-04,S001,P0001,Electronics,North,Spring,1,0,Cloudy,330,95,0,63.43,15,62.23,91,239,0,3.626
2022-03-05,S001,P0001,Electronics,North,Spring,1,0,Sunny,235,87,171,68.92,10,62.46,99,136,0,2.374
2022-03-06,S001,P0001,Electronics,North,Spring,1,0,Rainy,148,115,301,63.11,25,60.31,129,19,0,1.147
2022-03-07,S001,P0001,Electronics,North,Spring,0,0,Sunny,204,94,0,81.17,0,76.77,117,87,0,1.744
2022-03-08,S001,P0001,Electronics,North,Spring,0,0,Cloudy,411,45,0,61.06,10,54.47,64,347,0,5.0
2022-03-09,S001,P0001,Electronics,North,Spring,1,0,Rainy,366,195,383,81.24,15,72.83,175,191,0,2.091
2022-03-10,S001,P0001,Electronics,North,Spring,0,0,Rainy,171,65,0,61.18,10,65.79,79,92,0,2.165
2022-03-11,S001,P0001,Electronics,North,Spring,0,0,Rainy,489,32,0,58.13,0,68.76,38,451,0,5.0
2022-03-12,S001,P0001,Electronics,North,Spring,1,0,Sunny,457,77,0,56.44,15,62.51,73,384,0,5.0
2022-03-13,S001,P0001,Electronics,North,Spring,1,0,Sunny,380,75,0,63.17,20,73.23,125,255,0,3.04
2022-03-14,S001,P0001,Electronics,North,Spring,0,0,Cloudy,305,118,192,78.53,0,76.25,107,198,0,2.85
2022-03-15,S001,P0001,Electronics,North,Spring,1,0,Rainy,187,129,0,65.22,20,65.12,119,68,0,1.571
2022-03-16,S001,P0001,Electronics,North,Spring,0,0,Rainy,250,103,203,69.72,5,61.26,86,164,0,2.907
2022-03-17,S001,P0001,Electronics,North,Spring,0,0,Cloudy,147,92,0,69.39,10,62.27,101,46,0,1.455
2022-03-18,S001,P0001,Electronics,North,Spring,0,0,Rainy,258,103,172,67.53,5,81.08,92,166,0,2.804
2022-03-19,S001,P0001,Electronics,North,Spring,0,0,Rainy,155,75,270,81.7,0,76.0,119,36,0,1.303
2022-03-20,S001,P0001,Electronics,North,Spring,0,0,Sunny,252,147,0,82.98,5,76.43,142,110,0,1.775
2022-03-21,S001,P0001,Electronics,North,Spring,0,0,Sunny,375,74,0,74.32,0,72.51,90,285,0,4.167
2022-03-22,S001,P0001,Electronics,North,Spring,1,0,Rainy,301,80,0,56.63,15,66.67,74,227,0,4.068
2022-03-23,S001,P0001,Electronics,North,Spring,0,0,Sunny,221,90,147,61.55,10,66.88,81,140,0,2.728
2022-03-24,S001,P0001,Electronics,North,Spring,0,0,Sunny,131,41,0,51.93,10,61.99,36,95,0,3.639
2022-03-25,S001,P0001,Electronics,North,Spring,0,0,Cloudy,237,107,275,68.79,10,75.03,115,122,0,2.061
2022-03-26,S001,P0001,Electronics,North,Spring,0,0,Cloudy,130,99,0,74.0,0,72.08,89,41,0,1.461
2022-03-27,S001,P0001,Electronics,North,Spring,0,0,Sunny,306,111,0,65.59,10,72.31,100,206,0,3.06
2022-03-28,S001,P0001,Electronics,North,Spring,0,0,Rainy,195,65,119,59.74,10,51.11,59,136,0,3.305
2022-03-29,S001,P0001,Electronics,North,Spring,0,0,Sunny,130,130,342,83.15,5,90.6,161,-31,1,0.807
2022-03-30,S001,P0001,Electronics,North,Spring,0,0,Cloudy,119,73,0,61.77,10,74.22,82,37,0,1.451
2022-03-31,S001,P0001,Electronics,North,Spring,0,0,Rainy,388,121,0,69.04,10,83.43,116,272,0,3.345
2022-04-01,S001,P0001,Electronics,North,Spring,1,0,Cloudy,267,59,0,63.37,10,60.31,75,192,0,3.56
2022-04-02,S001,P0001,Electronics,North,Spring,0,0,Rainy,208,111,200,68.61,10,67.66,98,110,0,2.122
2022-04-03,S001,P0001,Electronics,North,Spring,1,0,Cloudy,97,97,321,84.43,10,82.7,168,-71,1,0.577
2022-04-04,S001,P0001,Electronics,North,Spring,1,0,Rainy,200,89,0,52.89,25,59.71,90,110,0,2.222
2022-04-05,S001,P0001,Electronics,North,Spring,0,0,Cloudy,432,79,0,69.25,10,66.66,101,331,0,4.277
2022-04-06,S001,P0001,Electronics,North,Spring,0,0,Cloudy,353,65,0,74.82,0,89.89,108,245,0,3.269
2022-04-07,S001,P0001,Electronics,North,Spring,0,0,Sunny,288,71,0,58.68,10,66.38,68,220,0,4.235
2022-04-08,S001,P0001,Electronics,North,Spring,0,0,Sunny,217,69,264,68.91,10,76.29,115,102,0,1.887
2022-04-09,S001,P0001,Electronics,North,Spring,0,0,Cloudy,148,43,0,64.08,0,69.55,63,85,0,2.349
2022-04-10,S001,P0001,Electronics,North,Spring,0,0,Rainy,369,131,333,86.0,5,76.77,154,215,0,2.396
2022-04-11,S001,P0001,Electronics,North,Spring,1,0,Cloudy,238,143,0,69.62,20,59.91,141,97,0,1.688
2022-04-12,S001,P0001,Electronics,North,Spring,1,0,Sunny,428,132,308,71.62,20,80.72,169,259,0,2.533
2022-04-13,S001,P0001,Electronics,North,Spring,0,0,Sunny,296,84,0,82.97,0,71.02,124,172,0,2.387
2022-04-14,S001,P0001,Electronics,North,Spring,0,0,Sunny,520,106,0,76.44,0,84.34,115,405,0,4.522
2022-04-15,S001,P0001,Electronics,North,Spring,1,0,Sunny,414,132,328,85.3,15,75.15,193,221,0,2.145
2022-04-16,S001,P0001,Electronics,North,Spring,0,0,Rainy,282,93,0,71.65,0,70.75,80,202,0,3.525
2022-04-17,S001,P0001,Electronics,North,Spring,0,0,Cloudy,517,105,0,66.71,5,78.15,89,428,0,5.0
2022-04-18,S001,P0001,Electronics,North,Spring,1,0,Cloudy,412,68,0,66.92,10,72.85,106,306,0,3.887
2022-04-19,S001,P0001,Electronics,North,Spring,1,0,Sunny,344,62,0,65.17,10,77.7,98,246,0,3.51
2022-04-20,S001,P0001,Electronics,North,Spring,0,0,Sunny,282,116,191,76.18,0,68.51,98,184,0,2.878
2022-04-21,S001,P0001,Electronics,North,Spring,0,0,Rainy,166,84,0,62.55,5,68.09,70,96,0,2.371
2022-04-22,S001,P0001,Electronics,North,Spring,0,0,Rainy,273,59,0,63.82,10,58.07,77,196,0,3.545
2022-04-23,S001,P0001,Electronics,North,Spring,0,1,Sunny,214,35,0,61.74,0,55.95,40,174,0,5.0
2022-04-24,S001,P0001,Electronics,North,Spring,0,1,Rainy,179,30,0,54.96,5,64.74,37,142,0,4.838
2022-04-25,S001,P0001,Electronics,North,Spring,0,1,Sunny,149,66,106,56.0,10,64.17,55,94,0,2.709
2022-04-26,S001,P0001,Electronics,North,Spring,1,1,Rainy,83,40,119,54.53,15,46.52,50,33,0,1.66
2022-04-27,S001,P0001,Electronics,North,Spring,0,1,Rainy,149,66,0,63.63,0,73.44,61,88,0,2.443
2022-04-28,S001,P0001,Electronics,North,Spring,1,1,Cloudy,202,62,132,63.93,10,55.65,77,125,0,2.623
2022-04-29,S001,P0001,Electronics,North,Spring,0,1,Sunny,140,42,0,60.55,10,57.8,62,78,0,2.258
2022-04-30,S001,P0001,Electronics,North,Spring,0,1,Sunny,230,29,0,57.83,0,65.61,37,193,0,5.0
2022-05-01,S001,P0001,Electronics,North,Spring,1,1,Cloudy,201,49,0,53.02,15,50.1,43,158,0,4.674
2022-05-02,S001,P0001,Electronics,North,Spring,0,1,Rainy,152,24,0,54.86,0,61.47,24,128,0,5.0
2022-05-03,S001,P0001,Electronics,North,Spring,1,1,Sunny,128,43,119,54.16,20,49.89,64,64,0,2.0
2022-05-04,S001,P0001,Electronics,North,Spring,0,1,Cloudy,85,64,142,59.99,10,52.65,60,25,0,1.417
2022-05-05,S001,P0001,Electronics,North,Spring,0,1,Cloudy,140,70,0,70.73,0,61.51,76,64,0,1.842
2022-05-06,S001,P0001,Electronics,North,Spring,0,1,Rainy,212,35,0,58.9,5,54.12,41,171,0,5.0
2022-05-07,S001,P0001,Electronics,North,Spring,0,1,Rainy,177,60,125,59.31,5,69.09,56,121,0,3.161
2022-05-08,S001,P0001,Electronics,North,Spring,0,1,Rainy,117,49,0,62.0,0,57.46,41,76,0,2.854
2022-05-09,S001,P0001,Electronics,North,Spring,1,1,Cloudy,193,58,157,52.88,25,50.54,75,118,0,2.573
2022-05-10,S001,P0001,Electronics,North,Spring,0,1,Sunny,135,29,0,63.43,0,58.13,47,88,0,2.872
2022-05-11,S001,P0001,Electronics,North,Spring,0,1,Cloudy,263,31,0,54.84,5,64.0,36,227,0,5.0
2022-05-12,S001,P0001,Electronics,North,Spring,0,1,Rainy,232,44,0,57.94,5,64.33,50,182,0,4.64
2022-05-13,S001,P0001,Electronics,North,Spring,0,1,Sunny,188,53,156,68.26,0,66.17,66,122,0,2.848
2022-05-14,S001,P0001,Electronics,North,Spring,1,1,Rainy,135,36,0,49.56,20,56.67,54,81,0,2.5
2022-05-15,S001,P0001,Electronics,North,Spring,1,1,Cloudy,255,53,0,50.59,25,50.21,63,192,0,4.048
2022-05-16,S001,P0001,Electronics,North,Spring,0,1,Rainy,202,67,140,65.24,5,62.83,68,134,0,2.971
2022-05-17,S001,P0001,Electronics,North,Spring,1,1,Sunny,135,85,0,54.05,25,53.55,81,54,0,1.667
2022-05-18,S001,P0001,Electronics,North,Spring,0,1,Cloudy,190,46,0,58.95,5,56.25,41,149,0,4.634
2022-05-19,S001,P0001,Electronics,North,Spring,1,1,Cloudy,144,60,109,51.06,25,46.86,65,79,0,2.215
2022-05-20,S001,P0001,Electronics,North,Spring,0,1,Cloudy,84,42,0,63.25,0,54.86,46,38,0,1.826
2022-05-21,S001,P0001,Electronics,North,Spring,1,1,Rainy,151,81,199,65.5,10,71.22,99,52,0,1.525
2022-05-22,S001,P0001,Electronics,North,Spring,1,1,Cloudy,70,70,207,62.92,10,67.2,87,-17,1,0.805
2022-05-23,S001,P0001,Electronics,North,Spring,1,1,Rainy,199,48,0,58.32,15,56.7,68,131,0,2.926
2022-05-24,S001,P0001,Electronics,North,Spring,0,1,Rainy,358,19,0,56.46,5,54.72,31,327,0,5.0
2022-05-25,S001,P0001,Electronics,North,Spring,0,1,Sunny,339,36,0,56.76,5,67.61,45,294,0,5.0
2022-05-26,S001,P0001,Electronics,North,Spring,0,0,Rainy,303,72,0,60.98,10,60.44,64,239,0,4.734
2022-05-27,S001,P0001,Electronics,North,Spring,0,0,Cloudy,231,50,0,64.6,0,55.67,52,179,0,4.442
2022-05-28,S001,P0001,Electronics,North,Spring,0,0,Cloudy,181,86,237,73.67,10,83.1,137,44,0,1.321
2022-05-29,S001,P0001,Electronics,North,Spring,0,0,Cloudy,95,95,0,67.9,10,76.23,110,-15,1,0.864
2022-05-30,S001,P0001,Electronics,North,Spring,0,0,Cloudy,237,57,217,70.72,5,61.93,91,146,0,2.604
2022-05-31,S001,P0001,Electronics,North,Spring,0,0,Cloudy,180,82,0,69.2,10,66.12,100,80,0,1.8
2022-06-01,S001,P0001,Electronics,North,Summer,1,0,Rainy,315,145,278,73.57,10,87.31,137,178,0,2.299
2022-06-02,S001,P0001,Electronics,North,Summer,1,0,Sunny,170,93,0,60.57,25,71.29,133,37,0,1.278
2022-06-03,S001,P0001,Electronics,North,Summer,0,0,Sunny,355,44,0,58.9,10,67.23,69,286,0,5.0
2022-06-04,S001,P0001,Electronics,North,Summer,0,0,Cloudy,311,34,0,64.78,0,61.21,52,259,0,5.0
2022-06-05,S001,P0001,Electronics,North,Summer,0,0,Rainy,277,45,0,70.25,0,66.02,74,203,0,3.743
2022-06-06,S001,P0001,Electronics,North,Summer,0,0,Rainy,232,107,227,76.49,0,65.37,99,133,0,2.343
2022-06-07,S001,P0001,Electronics,North,Summer,0,0,Rainy,125,55,0,63.36,10,68.34,89,36,0,1.404
2022-06-08,S001,P0001,Electronics,North,Summer,1,0,Sunny,297,134,270,70.4,15,83.77,141,156,0,2.106
2022-06-09,S001,P0001,Electronics,North,Summer,0,0,Cloudy,163,74,0,64.31,10,60.88,79,84,0,2.063
2022-06-10,S001,P0001,Electronics,North,Summer,1,0,Cloudy,359,67,0,59.68,20,69.04,107,252,0,3.355
2022-06-11,S001,P0001,Electronics,North,Summer,0,0,Sunny,292,100,256,78.04,5,77.04,121,171,0,2.413
2022-06-12,S001,P0001,Electronics,North,Summer,0,0,Cloudy,192,138,0,90.74,0,82.46,155,37,0,1.239
2022-06-13,S001,P0001,Electronics,North,Summer,0,0,Rainy,310,52,0,66.11,0,73.82,71,239,0,4.366
2022-06-14,S001,P0001,Electronics,North,Summer,0,0,Sunny,258,126,225,83.13,0,77.14,125,133,0,2.064
2022-06-15,S001,P0001,Electronics,North,Summer,0,0,Rainy,132,82,0,64.56,5,77.87,79,53,0,1.671
2022-06-16,S001,P0001,Electronics,North,Summer,0,0,Rainy,275,42,0,57.81,5,60.86,49,226,0,5.0
2022-06-17,S001,P0001,Electronics,North,Summer,1,0,Sunny,233,113,220,69.74,10,65.75,103,130,0,2.262
2022-06-18,S001,P0001,Electronics,North,Summer,1,0,Rainy,120,120,302,72.88,15,86.97,153,-33,1,0.784
2022-06-19,S001,P0001,Electronics,North,Summer,1,0,Rainy,220,123,0,69.81,10,78.23,119,101,0,1.849
2022-06-20,S001,P0001,Electronics,North,Summer,0,0,Cloudy,399,69,0,66.23,10,76.39,103,296,0,3.874
2022-06-21,S001,P0001,Electronics,North,Summer,1,0,Sunny,330,126,0,60.76,20,73.53,112,218,0,2.946
2022-06-22,S001,P0001,Electronics,North,Summer,0,0,Sunny,204,63,216,69.76,10,62.35,103,101,0,1.981
2022-06-23,S001,P0001,Electronics,North,Summer,0,0,Rainy,141,44,0,59.93,10,58.18,59,82,0,2.39
2022-06-24,S001,P0001,Electronics,North,Summer,0,0,Rainy,313,56,0,68.73,5,63.19,82,231,0,3.817
2022-06-25,S001,P0001,Electronics,North,Summer,0,0,Cloudy,257,58,0,61.62,5,54.66,53,204,0,4.849
2022-06-26,S001,P0001,Electronics,North,Summer,1,0,Sunny,199,110,193,69.29,10,81.48,117,82,0,1.701
2022-06-27,S001,P0001,Electronics,North,Summer,0,0,Rainy,89,62,0,58.76,5,68.26,54,35,0,1.648
2022-06-28,S001,P0001,Electronics,North,Summer,1,0,Cloudy,220,96,203,60.61,20,72.08,112,108,0,1.964
2022-06-29,S001,P0001,Electronics,North,Summer,0,1,Cloudy,124,27,0,51.55,10,54.68,35,89,0,3.543
2022-06-30,S001,P0001,Electronics,North,Summer,0,1,Rainy,300,39,0,54.92,10,48.14,37,263,0,5.0
2022-07-01,S001,P0001,Electronics,North,Summer,0,1,Cloudy,261,45,0,56.71,5,60.02,45,216,0,5.0
2022-07-02,S001,P0001,Electronics,North,Summer,0,1,Rainy,216,27,0,54.85,10,54.66,37,179,0,5.0
2022-07-03,S001,P0001,Electronics,North,Summer,0,1,Sunny,189,48,145,62.66,5,75.32,71,118,0,2.662
2022-07-04,S001,P0001,Electronics,North,Summer,0,1,Sunny,141,29,0,60.59,5,59.39,48,93,0,2.938
2022-07-05,S001,P0001,Electronics,North,Summer,0,1,Rainy,257,35,0,51.66,10,62.42,35,222,0,5.0
2022-07-06,S001,P0001,Electronics,North,Summer,0,1,Rainy,222,37,0,60.58,5,56.38,48,174,0,4.625
2022-07-07,S001,P0001,Electronics,North,Summer,1,1,Cloudy,185,46,128,58.28,10,67.2,66,119,0,2.803
2022-07-08,S001,P0001,Electronics,North,Summer,0,1,Sunny,139,22,0,49.09,10,53.77,23,116,0,5.0
2022-07-09,S001,P0001,Electronics,North,Summer,0,1,Rainy,245,33,0,56.3,5,54.9,30,215,0,5.0
2022-07-10,S001,P0001,Electronics,North,Summer,0,1,Cloudy,212,42,0,61.9,5,57.4,54,158,0,3.926
2022-07-11,S001,P0001,Electronics,North,Summer,0,1,Cloudy,170,15,0,49.85,10,42.8,15,155,0,5.0
2022-07-12,S001,P0001,Electronics,North,Summer,1,1,Sunny,155,32,73,51.15,15,48.76,34,121,0,4.559
2022-07-13,S001,P0001,Electronics,North,Summer,0,1,Sunny,123,20,0,55.6,0,60.1,28,95,0,4.393
2022-07-14,S001,P0001,Electronics,North,Summer,1,1,Cloudy,176,52,154,55.67,15,66.15,69,107,0,2.551
2022-07-15,S001,P0001,Electronics,North,Summer,1,1,Rainy,124,29,0,55.78,10,49.84,41,83,0,3.024
2022-07-16,S001,P0001,Electronics,North,Summer,1,1,Sunny,249,86,226,60.87,15,70.01,94,155,0,2.649
2022-07-17,S001,P0001,Electronics,North,Summer,1,1,Cloudy,163,50,0,54.07,20,62.81,78,85,0,2.09
2022-07-18,S001,P0001,Electronics,North,Summer,0,1,Rainy,339,39,0,58.59,0,63.81,40,299,0,5.0
2022-07-19,S001,P0001,Electronics,North,Summer,0,1,Cloudy,300,47,0,64.81,0,68.34,66,234,0,4.545
2022-07-20,S001,P0001,Electronics,North,Summer,1,1,Rainy,253,65,0,52.91,15,58.05,55,198,0,4.6
2022-07-21,S001,P0001,Electronics,North,Summer,0,1,Rainy,188,39,0,61.09,0,55.95,38,150,0,4.947
2022-07-22,S001,P0001,Electronics,North,Summer,1,1,Sunny,149,85,263,71.18,10,75.38,126,23,0,1.183
2022-07-23,S001,P0001,Electronics,North,Summer,1,1,Sunny,64,64,0,55.97,20,63.07,88,-24,1,0.727
2022-07-24,S001,P0001,Electronics,North,Summer,0,1,Rainy,263,38,0,62.62,0,70.16,57,206,0,4.614
2022-07-25,S001,P0001,Electronics,North,Summer,0,0,Rainy,225,64,129,67.27,0,79.18,76,149,0,2.961
2022-07-26,S001,P0001,Electronics,North,Summer,0,0,Sunny,161,95,231,70.68,5,75.47,106,55,0,1.519
2022-07-27,S001,P0001,Electronics,North,Summer,1,0,Rainy,195,116,0,75.4,10,81.74,145,50,0,1.345
2022-07-28,S001,P0001,Electronics,North,Summer,0,0,Sunny,310,72,0,63.9,5,73.66,76,234,0,4.079
2022-07-29,S001,P0001,Electronics,North,Summer,0,0,Rainy,238,83,299,77.5,10,69.74,137,101,0,1.737
2022-07-30,S001,P0001,Electronics,North,Summer,0,0,Rainy,155,72,0,61.77,5,71.11,67,88,0,2.313
2022-07-31,S001,P0001,Electronics,North,Summer,0,0,Sunny,382,132,0,75.44,0,89.95,110,272,0,3.473
2022-08-01,S001,P0001,Electronics,North,Summer,0,0,Rainy,250,117,245,70.88,5,79.66,107,143,0,2.336
2022-08-02,S001,P0001,Electronics,North,Summer,0,0,Rainy,133,53,0,65.31,5,61.64,68,65,0,1.956
2022-08-03,S001,P0001,Electronics,North,Summer,0,0,Sunny,325,146,257,78.87,5,75.11,125,200,0,2.6
2022-08-04,S001,P0001,Electronics,North,Summer,0,0,Sunny,179,158,0,73.69,10,83.35,137,42,0,1.307
2022-08-05,S001,P0001,Electronics,North,Summer,1,0,Cloudy,278,40,0,58.1,10,55.26,51,227,0,5.0
2022-08-06,S001,P0001,Electronics,North,Summer,0,0,Sunny,238,41,0,67.07,0,65.64,61,177,0,3.902
2022-08-07,S001,P0001,Electronics,North,Summer,0,0,Cloudy,197,92,204,75.12,5,65.15,109,88,0,1.807
2022-08-08,S001,P0001,Electronics,North,Summer,1,0,Rainy,105,86,247,65.19,15,71.08,116,-11,1,0.905
2022-08-09,S001,P0001,Electronics,North,Summer,0,0,Sunny,223,47,0,70.65,0,61.33,76,147,0,2.934
2022-08-10,S001,P0001,Electronics,North,Summer,0,0,Rainy,423,35,0,60.58,0,66.91,48,375,0,5.0
2022-08-11,S001,P0001,Electronics,North,Summer,0,0,Cloudy,388,76,0,65.43,0,74.74,69,319,0,5.0
2022-08-12,S001,P0001,Electronics,North,Summer,1,0,Cloudy,312,118,292,65.65,25,57.63,143,169,0,2.182
2022-08-13,S001,P0001,Electronics,North,Summer,0,0,Cloudy,194,67,0,67.41,10,59.47,92,102,0,2.109
2022-08-14,S001,P0001,Electronics,North,Summer,0,0,Sunny,419,103,0,74.65,0,87.06,107,312,0,3.916
2022-08-15,S001,P0001,Electronics,North,Summer,0,0,Cloudy,316,107,0,77.62,0,70.77,103,213,0,3.068
2022-08-16,S001,P0001,Electronics,North,Summer,1,0,Cloudy,209,97,337,64.83,25,69.23,156,53,0,1.34
2022-08-17,S001,P0001,Electronics,North,Summer,0,0,Cloudy,112,54,0,71.18,0,66.25,78,34,0,1.436
